,D614G_IC50,BA1_IC50,BA2_IC50,BA3_IC50,SARS_IC50,BA1_1_IC50,BA2_12_1_IC50,BA2_75_IC50,BA5_IC50,BF7_IC50,BA2_13_IC50,BQ1_1_IC50,XBB_IC50,XBB1_5_IC50,XBB1_5_10_IC50,BA5_ELISA_compete_level,paper_reactivity,source,group
GC1440,10,10,0.0367,NA,10,NA,NA,0.05696,0.0207,0.01744,NA,0.0753,0.0474,0.0646,NA,0.825458256,specific,BA.2 convalescents reinfection,F3
GC1441,10,0.00419,0.000815,NA,10,NA,NA,0.0008414,0.000675,0.0009391,NA,0.00394,0.00326,0.00138,NA,0.643824987,specific,BA.2 convalescents reinfection,F3
GC1442,10,0.0687,0.00664,NA,10,NA,NA,0.02496,0.00896,0.008688,NA,0.0352,0.0296,0.0245,0.03213,0.853263489,specific,BA.2 convalescents reinfection,F3
GC1443,0.11,0.464,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.834537098,cross,BA.1 convalescents reinfection,F1
GC1444,0.0043,0.312,0.00463,NA,10,NA,NA,0.289,0.00117,0.002656,NA,10,10,10,10,0.732847316,cross,BA.2 convalescents reinfection,D2
GC1445,10,10,10,NA,10,NA,NA,0.000386,10,0.0002679,NA,0.00119,0.00262,0.00581,0.001487,0.710839513,specific,BA.2 convalescents reinfection,F3
GC1446,10,10,0.00122,NA,10,NA,NA,0.005271,0.00138,0.001113,NA,0.00578,0.00869,0.00642,0.03066,0.756557998,specific,BA.2 convalescents reinfection,F3
GC1447,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.491926527,cross,BA.2 convalescents reinfection,F1
GC1448,10,10,0.00702,NA,10,NA,NA,0.1618,0.0176,0.008029,NA,0.0752,0.0922,0.124,NA,0.574354311,specific,BA.2 convalescents reinfection,F3
GC1449,10,0.215,0.00302,NA,10,NA,NA,0.0002892,0.001992,0.0005419,NA,0.00298,0.00299,0.00143,0.002204,0.44472762,specific,BA.2 convalescents reinfection,F3
GC1450,10,10,0.00653,NA,10,NA,NA,0.01685,0.00915,0.003203,NA,0.0168,0.0419,0.0717,0.02284,0.323717949,specific,BA.2 convalescents reinfection,F3
GC1451,10,0.0187,0.0143,NA,10,NA,NA,0.02943,0.00943,0.001801,NA,0.0165,0.0553,0.066,NA,0.820316885,specific,BA.2 convalescents reinfection,F3
GC1452,10,10,0.001858,NA,10,NA,NA,0.0007416,0.000729,0.0003316,NA,0.00297,0.0033,0.001726,NA,0.804960796,specific,BA.2 convalescents reinfection,F3
GC1453,10,10,0.00295,NA,10,NA,NA,0.0006771,0.000543,0.0004809,NA,0.0025,0.00297,0.002698,NA,0.868998586,specific,BA.2 convalescents reinfection,F3
GC1455,10,1.22,0.00523,NA,10,NA,NA,0.00273,0.0018,0.001676,NA,0.00713,0.0103,0.00508,NA,0.885983911,specific,BA.2 convalescents reinfection,F3
GC1456,10,0.551,0.00362,NA,10,NA,NA,0.002079,0.0041,0.001464,NA,0.00688,0.00211,0.00157,0.004068,0.793785988,specific,BA.2 convalescents reinfection,F3
GC1457,10,10,0.00117,NA,10,NA,NA,0.0001287,10,0.0008466,NA,0.00297,0.00156,0.000659,0.001026,0.476598396,specific,BA.2 convalescents reinfection,F3
GC1459,0.00287,0.00793,0.00528,NA,10,NA,NA,0.001991,0.000698,0.1676,NA,10,10,10,10,0.769868606,cross,BA.2 convalescents reinfection,E1/E2.1
GC1460,0.836,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.294774285,cross,BA.2 convalescents reinfection,F1
GC1461,0.995,0.742,0.158,NA,NA,NA,NA,10,0.198,0.1443,NA,10,10,10,10,0,cross,BA.2 convalescents reinfection,F1
GC1462,10,0.0694,0.00326,NA,10,NA,NA,0.1439,0.00426,0.004356,NA,0.0145,10,10,10,0.733333333,specific,BA.2 convalescents reinfection,D3
GC1463,0.0145,0.00275,0.00687,NA,10,NA,NA,0.01055,0.00643,0.007041,NA,0.0341,0.0308,0.0548,10,0.723582789,cross,BA.1 convalescents reinfection,A1
GC1464,0.0106,0.0024,0.00575,NA,10,NA,NA,0.03058,0.00407,0.004748,NA,0.0617,0.0646,0.0529,10,0.902488093,cross,BA.1 convalescents reinfection,A1
GC1465,10,10,0.00911,NA,10,NA,NA,0.02043,0.0202,0.04959,NA,10,0.0107,0.0134,NA,0.267736938,specific,BA.1 convalescents reinfection,D2
GC1466,0.00314,0.00111,0.00258,NA,10,NA,NA,0.001269,0.00122,0.002004,NA,0.0191,0.029,0.00849,10,0.828403876,cross,BA.2 convalescents reinfection,A1
GC1467,0.00374,0.00257,0.00174,NA,10,NA,NA,10,0.0053,0.0059,NA,10,10,10,10,0.727255723,cross,BA.1 convalescents reinfection,A1
GC1468,0.0213,0.00542,0.00209,NA,10,NA,NA,0.02417,0.0139,0.01046,NA,0.0444,0.044,0.0303,0.8106,0.739809536,cross,BA.1 convalescents reinfection,A1
GC1469,10,0.0181,0.00385,NA,10,NA,NA,0.002517,0.00107,0.001357,NA,0.00553,0.00263,0.002943,0.003036,0.687421803,specific,BA.2 convalescents reinfection,F3
GC1470,0.000567,10,0.00283,NA,10,NA,NA,0.000789,10,0.0004929,NA,0.00433,0.00478,0.00125,10,0.90709311,cross,BA.2 convalescents reinfection,A1
GC1472,10,10,0.000693,NA,10,NA,NA,0.0002084,0.00195,0.002056,NA,0.00503,0.528,0.00178,0.02247,0.608888069,cross,BA.2 convalescents reinfection,A1
GC1473,0.261,0.085,0.0899,NA,NA,NA,NA,0.06482,0.423,1.1635,NA,10,0.377,0.502,NA,0.328830323,cross,BA.2 convalescents reinfection,E1/E2.1
GC1474,10,10,0.000767,NA,10,NA,NA,0.0001846,0.000621,0.0002311,NA,0.000734,0.000703,0.000943,NA,0.668462325,specific,BA.1 convalescents reinfection,F3
GC1475,0.00149,0.00239,0.00282,NA,10,NA,NA,0.01914,0.00437,0.004516,NA,0.0733,0.0853,0.0824,10,0.681480433,cross,BA.1 convalescents reinfection,A1
GC1476,0.000768,0.0143,0.0179,NA,10,NA,NA,0.006218,0.00619,0.005001,NA,0.00649,0.034,0.0067,0.1494,0.788751528,cross,BA.1 convalescents reinfection,A1
GC1478,10,0.0303,0.561,NA,10,NA,NA,1.5103,0.332,0.1696,NA,0.533,10,10,10,0.619603531,specific,BA.1 convalescents reinfection,D3
GC1479,0.203,0.00109,0.00489,NA,NA,NA,NA,0.00444,0.0023,0.002356,NA,0.00697,0.006522,0.0014,0.00929,0.921071687,specific,BA.2 convalescents reinfection,A2
GC1480,0.00474,0.0025,0.00304,NA,10,NA,NA,0.04443,0.0112,0.006608,NA,0.0583,0.513,0.634,NA,0.815631168,cross,BA.1 convalescents reinfection,A1
GC1481,0.196,0.195,2.61,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BA.2 convalescents reinfection,F1
GC1482,10,10,0.0016,NA,10,NA,NA,0.0009248,10,0.0001182,NA,10,0.00128,0.000584,0.001132,0.869204594,specific,BA.2 convalescents reinfection,F3
GC1483,0.0331,0.0506,0.0328,NA,NA,NA,NA,0.01319,0.25,0.1506,NA,0.367,0.244,0.168,NA,0.283285685,cross,BA.2 convalescents reinfection,E1/E2.1
GC1485,10,0.0342,0.000931,NA,10,NA,NA,0.01472,0.276,0.09634,NA,0.061,0.0504,0.901,NA,0.55018056,specific,BA.1 convalescents reinfection,C/D1
GC1488,0.575,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.051283462,cross,BA.1 convalescents reinfection,F1
GC1489,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BA.1 convalescents reinfection,F1
GC1490,0.00121,0.013,0.0535,NA,NA,NA,NA,0.1428,0.0467,0.1126,NA,0.6,0.626,1.2,NA,0.36553841,cross,BA.1 convalescents reinfection,D3
GC1492,0.00199,0.00314,0.00327,NA,10,NA,NA,0.005267,0.00177,0.001624,NA,0.0119,0.0111,0.00557,0.006672,0.839584851,cross,BA.1 convalescents reinfection,A1
GC1493,10,0.0062,10,NA,10,NA,NA,0.0008548,10,0.0009895,NA,0.00086,0.00192,0.000737,NA,0.83301412,specific,BA.1 convalescents reinfection,F3
GC1494,10,0.674,10,NA,10,NA,NA,0.0004685,10,0.0002578,NA,0.00124,0.00106,0.00132,NA,0.773030303,specific,BA.2 convalescents reinfection,F3
GC1495,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.211336998,cross,BA.1 convalescents reinfection,F1
GC1496,0.00326,0.0406,0.0113,NA,10,NA,NA,0.01707,0.0403,0.003009,NA,0.229,10,10,10,0.492610634,cross,BA.1 convalescents reinfection,A1
GC1497,10,10,10,NA,10,NA,NA,0.0002725,10,0.0002997,NA,0.00086,0.00146,0.00167,0.004395,0.872117275,specific,BA.1 convalescents reinfection,D4
GC1498,10,0.00106,0.000575,NA,10,NA,NA,0.0006768,10,0.0002101,NA,0.00118,0.00233,0.000526,0.00145,0.784301213,specific,BA.1 convalescents reinfection,F3
GC1500,1.1,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.353147152,cross,BA.2 convalescents reinfection,F1
GC1501,0.00152,0.00105,0.00134,NA,10,NA,NA,0.001233,0.00231,0.001609,NA,0.00544,0.025,0.00913,0.01637,0.764024474,cross,BA.1 convalescents reinfection,A1
GC1502,0.00305,10,0.273,NA,10,NA,NA,0.4368,0.141,10,NA,10,10,10,10,0.75004435,cross,BA.2 convalescents reinfection,E1/E2.1
GC1504,0.00504,0.00284,0.00875,NA,10,NA,NA,0.0242,0.00351,0.004113,NA,0.0132,0.0299,0.0136,0.08035,0.801285583,cross,BA.2 convalescents reinfection,A1
GC1505,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.213316381,cross,BA.1 convalescents reinfection,F1
GC1507,10,1.81,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BA.1 convalescents reinfection,F1
GC1509,10,10,0.0289,NA,10,NA,NA,0.0003329,0.00611,0.009321,NA,0.204,10,10,0.0005295,0,specific,BA.1 convalescents reinfection,D4
GC1510,10,10,0.0413,NA,10,NA,NA,10,0.174,0.1554,NA,10,10,10,10,0.565942059,specific,BA.2 convalescents reinfection,F3
GC1512,0.00343,0.00474,0.00946,NA,10,NA,NA,0.007866,0.0481,0.07194,NA,10,10,10,10,0.316568803,cross,BA.1 convalescents reinfection,A1
GC1513,0.00192,0.00134,0.001612,NA,10,NA,NA,0.001168,0.000532,0.002575,NA,0.00653,0.00497,0.00239,0.0157,0.737163335,cross,BA.1 convalescents reinfection,A1
GC1514,10,0.000602,0.00425,NA,10,NA,NA,0.004013,10,0.0009461,NA,0.00186,0.00695,0.00306,0.003639,0.8165265,specific,BA.1 convalescents reinfection,F3
GC1515,1.2,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BA.2 convalescents reinfection,F1
GC1516,10,0.00352,0.00718,NA,10,NA,NA,0.003829,0.00182,0.003757,NA,0.00946,10,10,10,0.69322001,specific,BA.1 convalescents reinfection,C/D1
GC1518,0.0198,0.00164,0.00841,NA,10,NA,NA,0.01918,0.00539,0.006834,NA,0.0403,0.046,0.044,10,0.737129388,cross,BA.2 convalescents reinfection,A1
GC1519,0.00328,0.00105,0.0018,NA,10,NA,NA,0.007995,0.00212,0.003338,NA,0.00649,0.01,0.00186,0.005645,0.844083093,cross,BA.1 convalescents reinfection,A1
GC1520,10,10,0.00238,NA,10,NA,NA,0.0005651,10,0.0008036,NA,0.00275,0.00156,0.00218,0.001345,0.852613828,specific,BA.1 convalescents reinfection,D4
GC1524,10,0.000504,0.0346,NA,10,NA,NA,0.003161,0.00757,0.03272,NA,10,10,10,10,0.464286797,specific,BA.1 convalescents reinfection,D3
GC1525,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.034555427,cross,BA.2 convalescents reinfection,F1
GC1526,0.00264,0.0124,0.015,NA,10,NA,NA,0.006214,0.0184,0.0157,NA,0.0406,0.0096,0.00827,10,0.665938933,cross,BA.1 convalescents reinfection,A1
GC1527,0.00693,10,0.000951,NA,10,NA,NA,0.0001139,0.00154,0.001893,NA,0.00418,0.00417,0.00523,0.0036,0.358146236,specific,BA.1 convalescents reinfection,B
GC1528,10,0.0238,0.00972,NA,10,NA,NA,0.01872,0.00772,0.006344,NA,0.00806,0.0126,0.0261,0.05906,0.717584124,specific,BA.2 convalescents reinfection,F3
GC1529,0.00613,0.000841,0.00539,NA,10,NA,NA,0.00322,0.00275,0.002217,NA,0.0164,0.0103,0.00768,0.0355,0.690039362,cross,BA.2 convalescents reinfection,A1
GC1530,0.00322,10,10,NA,10,NA,NA,0.0004477,0.000506,0.0009721,NA,0.00937,0.0399,0.00703,10,0.626336494,cross,BA.2 convalescents reinfection,A1
GC1531,10,10,0.0115,NA,10,NA,NA,7.32e-05,0.00197,0.002452,NA,0.0306,0.00121,0.000984,0.001274,0.572959344,specific,BA.1 convalescents reinfection,D4
GC1532,10,10,0.00283,NA,10,NA,NA,0.0007694,10,0.0004747,NA,0.00477,0.00271,0.00189,NA,0.668715697,specific,BA.2 convalescents reinfection,F3
GC1533,10,10,0.0393,NA,10,NA,NA,3.9542,0.0079,0.008318,NA,0.126,10,10,10,0.715240307,specific,BA.2 convalescents reinfection,D4
GC1534,10,10,0.0197,NA,10,NA,NA,10,0.136,0.1276,NA,10,10,10,10,0.115058839,specific,BA.2 convalescents reinfection,A1
GC1535,0.00326,0.00091,0.00483,NA,10,NA,NA,0.0004374,0.29,10,NA,10,0.0669,0.0906,NA,0.522217019,cross,BA.2 convalescents reinfection,E1/E2.1
GC1536,10,0.00151,0.00907,NA,10,NA,NA,0.004421,0.00178,0.001536,NA,0.0104,0.007,0.00525,NA,0.798015154,specific,BA.1 convalescents reinfection,F3
GC1537,0.00208,0.00222,0.00575,NA,10,NA,NA,0.03148,0.0101,0.003927,NA,10,10,10,10,0.437655766,cross,BA.2 convalescents reinfection,A1
GC1538,0.0102,0.00326,0.00911,NA,10,NA,NA,0.02539,0.00713,0.005902,NA,0.0264,0.0324,0.0231,0.2808,0.831756854,cross,BA.2 convalescents reinfection,A1
GC1539,0.00344,0.00217,0.0027,NA,10,NA,NA,0.003958,0.00222,0.002357,NA,0.00857,0.00551,0.00321,0.002494,0.848262285,cross,BA.1 convalescents reinfection,A1
GC1540,0.0036,0.000742,0.00394,NA,10,NA,NA,0.0006529,0.000689,0.0005452,NA,0.00512,0.00444,0.00208,0.01776,0.723740797,cross,BA.2 convalescents reinfection,A1
GC1541,10,0.00214,0.000926,NA,10,NA,NA,10,0.00214,0.0009118,NA,0.00789,0.00465,0.00258,0.007802,0.738264804,specific,BA.2 convalescents reinfection,A1
GC1543,10,0.00539,0.0139,NA,10,NA,NA,1.0249,0.0122,0.006539,NA,0.281,10,10,10,0.499422604,specific,BA.2 convalescents reinfection,D3
GC1544,10,0.191,10,NA,10,NA,NA,10,10,0.0003838,NA,0.00323,0.0026,0.00178,0.001962,0.711835749,specific,BA.2 convalescents reinfection,F3
GC1545,0.000594,10,10,NA,10,NA,NA,0.0004981,0.0116,0.007492,NA,0.0193,10,10,10,0.631108972,cross,BA.2 convalescents reinfection,C/D1
GC1547,0.0323,0.000793,0.00106,NA,NA,NA,NA,0.01653,0.00126,0.001668,NA,0.00452,0.003381,0.001846,0.002623,0.614022925,specific,BA.2 convalescents reinfection,A1
GC1548,0.0131,0.00368,0.00202,NA,10,NA,NA,0.005668,0.00227,0.00291,NA,10,10,10,10,0.61786483,cross,BA.1 convalescents reinfection,A1
GC1551,10,10,0.000925,NA,10,NA,NA,0.001276,10,0.0004923,NA,0.00719,0.00173,0.00274,NA,0.788997797,specific,BA.2 convalescents reinfection,F3
GC1552,0.0116,0.00141,0.00102,NA,10,NA,NA,0.004444,0.000984,0.00155,NA,0.0145,0.307,0.0348,10,0.858242973,cross,BA.1 convalescents reinfection,A1
GC1553,10,1.17,0.000896,NA,10,NA,NA,0.002485,10,0.0007925,NA,0.00939,0.00323,0.00294,NA,0.722981933,specific,BA.2 convalescents reinfection,F3
GC1554,0.00464,0.00434,0.00112,NA,10,NA,NA,0.002786,0.000596,0.01442,NA,10,10,10,10,0.752709663,cross,BA.2 convalescents reinfection,E1/E2.1
GC1555,10,0.174,0.692,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.456583412,cross,BA.1 convalescents reinfection,F1
GC1556,0.0111,0.00225,0.00285,NA,10,NA,NA,0.03135,0.0027,0.002532,NA,0.0541,0.0292,0.0291,0.2065,0.715866494,cross,BA.2 convalescents reinfection,A1
GC1557,10,0.00148,0.000718,NA,10,NA,NA,0.00197,0.0207,0.01368,NA,0.156,10,10,10,0.595808626,specific,BA.1 convalescents reinfection,D4
GC1558,0.00548,0.0866,0.0665,NA,10,NA,NA,0.01269,0.0661,0.0608,NA,0.169,10,10,10,0.573141123,cross,BA.1 convalescents reinfection,A1
GC1560,10,10,10,NA,10,NA,NA,0.0004618,10,0.0008992,NA,0.159,10,10,10,0.771481624,specific,BA.1 convalescents reinfection,D3
GC1561,0.00276,0.01,0.0262,NA,10,NA,NA,0.01714,0.0393,0.02368,NA,0.0645,0.194,0.0884,10,0.59272347,cross,BA.1 convalescents reinfection,A1
GC1562,0.00269,10,10,NA,10,NA,NA,0.0005703,0.00104,0.001791,NA,0.0086,0.262,0.0108,0.004717,0.535985714,cross,BA.1 convalescents reinfection,B
GC1563,0.00263,0.003,0.000886,NA,NA,NA,NA,0.00261,0.00173,0.001247,NA,0.0147,0.0119,0.00363,0.005478,0.898747893,cross,BA.2 convalescents reinfection,A1
GC1564,0.00474,0.00437,0.00118,NA,10,NA,NA,0.003257,0.00221,0.001838,NA,0.0165,0.0116,0.00776,0.03014,0.754421518,cross,BA.2 convalescents reinfection,A1
GC1565,10,10,10,NA,10,NA,NA,0.0002126,10,0.0003275,NA,0.159,0.716,0.672,NA,0.602806335,specific,BA.1 convalescents reinfection,D3
GC1566,10,0.00062,0.00251,NA,10,NA,NA,0.001853,10,0.0007165,NA,0.00385,0.00188,0.00202,NA,0.647265661,specific,BA.1 convalescents reinfection,D4
GC1568,10,0.000637,10,NA,10,NA,NA,0.005528,10,0.000365,NA,0.00228,0.00308,0.00149,0.004154,0.663649588,specific,BA.2 convalescents reinfection,F3
GC1569,0.112,0.178,0.0301,NA,10,NA,NA,0.03933,0.00637,0.01727,NA,0.0463,10,10,10,0,cross,BA.1 convalescents reinfection,E2.2
GC1570,0.00345,0.0296,0.00374,NA,10,NA,NA,0.0073,0.000681,0.2487,NA,10,10,10,10,0.669270371,cross,BA.2 convalescents reinfection,E1/E2.1
GC1571,10,0.00201,0.00134,NA,10,NA,NA,0.002152,0.0263,0.02086,NA,0.0375,10,10,10,0.431993707,specific,BA.2 convalescents reinfection,C/D1
GC1572,0.937,0.346,1.47,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BA.2 convalescents reinfection,F1
GC1573,0.407,0.00064,0.00062,NA,10,NA,NA,0.0007085,10,0.001128,NA,0.185,10,10,10,0.846633676,specific,BA.1 convalescents reinfection,D3
GC1574,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.024575172,cross,BA.2 convalescents reinfection,F1
GC1575,0.353,0.298,0.0259,NA,10,NA,NA,0.03355,0.301,0.4459,NA,10,0.163,0.232,NA,0.03424,cross,BA.2 convalescents reinfection,E1/E2.1
GC1576,0.85,0.439,0.0205,NA,NA,NA,NA,0.0363,0.128,0.3175,NA,10,0.122,0.23,NA,0,cross,BA.2 convalescents reinfection,E1/E2.1
GC1577,10,10,0.00071,NA,10,NA,NA,0.000276,0.000501,0.0003867,NA,0.00669,0.00801,0.0112,NA,0.653475568,specific,BA.2 convalescents reinfection,D2
GC1578,0.643,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BA.1 convalescents reinfection,F1
GC1579,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BA.1 convalescents reinfection,F1
GC1580,0.736,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BA.2 convalescents reinfection,F1
GC1581,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BA.1 convalescents reinfection,F1
GC1582,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BA.2 convalescents reinfection,F1
GC1583,10,0.728,0.744,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.098649284,cross,BA.1 convalescents reinfection,F1
GC1584,0.0101,0.108,0.0376,NA,10,NA,NA,0.1122,0.0149,0.15,NA,10,10,10,10,0.479852649,cross,BA.2 convalescents reinfection,E1/E2.1
GC1586,10,10,0.00327,NA,10,NA,NA,0.009432,0.00116,0.0005672,NA,0.00458,0.0181,0.0152,0.02323,0.796288853,specific,BA.2 convalescents reinfection,F3
GC1587,0.00399,0.00622,0.00534,NA,10,NA,NA,0.003475,0.00174,0.09578,NA,10,10,10,10,0.733706858,cross,BA.2 convalescents reinfection,E1/E2.1
GC1588,0.00287,0.0738,0.0107,NA,10,NA,NA,0.00286,0.00181,0.3116,NA,10,10,10,10,0.686754499,cross,BA.2 convalescents reinfection,E1/E2.1
GC1589,10,10,0.00344,NA,10,NA,NA,0.0009852,10,0.0005275,NA,0.00184,0.00242,0.00124,NA,0.544953249,specific,BA.2 convalescents reinfection,F3
GC1590,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.055764461,cross,BA.2 convalescents reinfection,F1
GC1591,10,0.00234,0.0097,NA,10,NA,NA,0.139,0.179,0.06466,NA,0.312,10,10,10,0.580709141,specific,BA.2 convalescents reinfection,C/D1
GC1595,1.66,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BA.1 convalescents reinfection,F1
GC1596,1.1,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BA.1 convalescents reinfection,F1
GC1598,10,0.00891,0.00656,NA,10,NA,NA,2.0651,1.22,0.5678,NA,10,10,10,10,0,specific,BA.2 convalescents reinfection,A2
GC1599,0.782,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BA.1 convalescents reinfection,F1
GC1600,10,10,0.000761,NA,10,NA,NA,0.004857,0.000697,0.0002639,NA,0.00193,0.00257,0.00246,NA,0.886538214,specific,BA.2 convalescents reinfection,F3
GC1601,10,0.00209,0.0327,NA,10,NA,NA,0.008992,0.0512,0.01481,NA,0.0636,0.215,0.355,NA,0.746788813,specific,BA.1 convalescents reinfection,D4
GC1603,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.459903109,cross,BA.2 convalescents reinfection,F1
GC1604,2.07,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.316864697,cross,BA.2 convalescents reinfection,F1
GC1605,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BA.2 convalescents reinfection,F1
GC1606,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.377443668,cross,BA.2 convalescents reinfection,F1
GC1607,1.15,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.158771654,cross,BA.1 convalescents reinfection,F1
GC1608,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BA.2 convalescents reinfection,F1
GC1609,0.00551,0.0124,0.00508,NA,10,NA,NA,0.01066,0.00603,0.3584,NA,10,10,10,10,0,cross,BA.2 convalescents reinfection,E1/E2.1
GC1610,0.00284,0.138,0.00846,NA,10,NA,NA,0.05797,0.0408,0.5475,NA,10,10,10,10,0.693484396,cross,BA.2 convalescents reinfection,E1/E2.1
GC1611,1.32,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.436098748,cross,BA.1 convalescents reinfection,F1
GC1613,0.0111,0.0913,0.0131,NA,10,NA,NA,0.0413,0.0137,0.2197,NA,10,10,10,10,0.780289838,cross,BA.2 convalescents reinfection,E1/E2.1
GC1614,1.13,10,10,NA,NA,NA,NA,10,0.847,0.6537,NA,10,10,10,10,0.587766634,cross,BA.2 convalescents reinfection,E3
GC1616,0.0983,0.0333,0.00154,NA,10,NA,NA,0.03788,0.000562,0.004725,NA,10,10,10,10,0.606593825,specific,BA.2 convalescents reinfection,D2
GC1617,10,10,10,NA,10,NA,NA,0.0007687,0.000803,0.0004433,NA,0.00212,0.00191,0.00143,NA,0.841306381,specific,BA.2 convalescents reinfection,F3
GC1618,10,10,10,NA,10,NA,NA,0.002995,10,0.0002619,NA,0.000795,0.000621,10,NA,0.711104911,specific,BA.2 convalescents reinfection,F3
GC1619,0.145,0.145,0.0499,NA,10,NA,NA,0.03737,0.496,0.7721,NA,10,10,10,10,0.221402737,cross,BA.2 convalescents reinfection,E1/E2.1
GC1620,0.0744,0.246,0.0487,NA,10,NA,NA,0.03707,0.194,0.6312,NA,10,0.138,0.168,NA,0.12085197,cross,BA.2 convalescents reinfection,E1/E2.1
GC1621,0.00233,0.00296,0.00126,NA,10,NA,NA,0.003828,0.00586,0.004746,NA,0.0152,0.0451,0.0202,0.06831,0.8322513,cross,BA.1 convalescents reinfection,A1
GC1622,1.45,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BA.1 convalescents reinfection,F1
GC1623,10,0.00137,10,NA,10,NA,NA,0.0031,0.000646,0.0005716,NA,0.00282,0.00931,0.0104,NA,0.77746177,specific,BA.2 convalescents reinfection,D4
GC1624,0.00218,0.017,0.0199,NA,10,NA,NA,0.009527,0.0295,0.02069,NA,0.0801,0.00778,0.00941,10,0.712121212,cross,BA.1 convalescents reinfection,A1
GC1627,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BA.1 convalescents reinfection,F1
GC1629,10,10,10,NA,10,NA,NA,0.01003,0.000843,0.0002626,NA,0.00246,0.0143,0.00565,NA,0.782344307,specific,BA.2 convalescents reinfection,F3
GC1630,10,0.00433,0.0145,NA,10,NA,NA,0.01078,0.0098,0.00785,NA,0.0554,0.0254,0.0551,NA,0.844872294,specific,BA.1 convalescents reinfection,D3
GC1631,10,0.114,10,NA,10,NA,NA,10,0.0101,0.004788,NA,0.456,10,10,10,0.566973743,specific,BA.2 convalescents reinfection,F3
GC1632,10,0.126,10,NA,10,NA,NA,0.07308,10,0.0003766,NA,0.00774,10,10,10,0.804520796,cross,BA.2 convalescents reinfection,D2
GC1634,10,0.00278,0.00197,NA,10,NA,NA,0.009067,0.0154,0.018,NA,0.0187,0.045,10,10,0.755642133,specific,BA.2 convalescents reinfection,A2
GC1635,10,0.00791,0.0335,NA,10,NA,NA,0.008264,0.0152,0.02747,NA,0.038,10,10,10,0.334836019,specific,BA.1 convalescents reinfection,D3
GC1636,10,0.0233,10,NA,10,NA,NA,0.08594,10,0.000445,NA,0.0715,10,10,10,0.826132115,specific,BA.2 convalescents reinfection,D4
GC1637,10,0.029,0.00224,NA,10,NA,NA,0.08455,0.000878,0.002106,NA,0.165,10,10,10,0.839146901,specific,BA.2 convalescents reinfection,D4
GC1640,0.172,10,10,NA,10,NA,NA,0.0004587,0.000517,0.001517,NA,0.323,10,10,10,0.879757824,specific,BA.2 convalescents reinfection,D3
GC1641,10,0.0213,0.0157,NA,10,NA,NA,0.05045,0.0131,0.01866,NA,0.031,0.0489,0.0463,NA,0.694599992,specific,BA.1 convalescents reinfection,D3
GC1642,10,10,0.00518,NA,10,NA,NA,0.1962,0.0053,0.00582,NA,0.14,0.142,0.0869,NA,0.559967679,specific,BA.2 convalescents reinfection,F3
GC1643,10,0.419,0.0593,NA,10,NA,NA,0.2437,0.0608,0.07107,NA,0.188,0.478,0.385,NA,0.475758397,specific,BA.2 convalescents reinfection,D3
